policy_id,policy_family,policy_variant,analysis_only,selection_mode,selection_key,split,chunk_words,aggregation,task,example_count,strict_precision,strict_recall,strict_f1,masking_f2,mean_commit_context_words,selection_error_rate,gold_premature_rate,wrong_commitment_rate,missed_entity_rate
fixed-threshold:main:162060298ea31472,fixed-threshold,main,False,matched_latency,fixed-threshold,test,1,overall,__overall__,1200,0.5178399228543876,0.669576059850374,0.5840130505709625,0.8116598717435736,6.267225325884544,0.4744426318651441,0.10366441658630665,0.4821600771456123,0.33042394014962595
oracle-stable:analysis-only:6c1cbd5405bdb220,oracle-stable,analysis-only,True,matched_latency,oracle-stable,test,1,task,ai4privacy-en,300,0.5977175463623395,0.6768982229402262,0.6348484848484849,0.9282740348221045,0.5011933174224343,0.41818181818181815,0.09985734664764621,0.40228245363766046,0.32310177705977383
oracle-stable:analysis-only:6c1cbd5405bdb220,oracle-stable,analysis-only,True,matched_latency,oracle-stable,test,1,task,gretel,300,0.5362997658079626,0.731629392971246,0.6189189189189189,0.8897379912663755,0.7292576419213974,0.4081081081081081,0.0468384074941452,0.4637002341920375,0.268370607028754
oracle-stable:analysis-only:6c1cbd5405bdb220,oracle-stable,analysis-only,True,matched_latency,oracle-stable,test,1,task,nemotron-pii,300,0.5411764705882353,0.8571428571428571,0.6634615384615384,0.8176443130543021,0.43478260869565216,0.3557692307692308,0.03137254901960784,0.4588235294117647,0.14285714285714285
oracle-stable:analysis-only:6c1cbd5405bdb220,oracle-stable,analysis-only,True,matched_latency,oracle-stable,test,1,task,privy,300,0.6931407942238267,0.7514677103718199,0.7211267605633801,0.840068133222194,16.903645833333332,0.3145539906103286,0.06859205776173286,0.30685920577617326,0.24853228962818003
oracle-stable:analysis-only:6c1cbd5405bdb220,oracle-stable,analysis-only,True,matched_latency,oracle-stable,test,1,overall,__overall__,1200,0.6040268456375839,0.729426433915212,0.6608302739339169,0.8782007959750694,5.921367521367522,0.3775769556622423,0.07021166752710377,0.3959731543624161,0.27057356608478805
rescore-patience:main:0b91cc5cc041f39a,rescore-patience,main,False,matched_latency,rescore-patience,test,1,task,ai4privacy-en,300,0.7388392857142857,0.5347334410339257,0.6204311152764761,0.7072235673930589,0.5589123867069486,0.4386129334582943,0.140625,0.2611607142857143,0.46526655896607433
rescore-patience:main:0b91cc5cc041f39a,rescore-patience,main,False,matched_latency,rescore-patience,test,1,task,gretel,300,0.6787878787878788,0.7156549520766773,0.6967340590979783,0.8163766833775681,0.71875,0.3265940902021773,0.045454545454545456,0.3212121212121212,0.28434504792332266
rescore-patience:main:0b91cc5cc041f39a,rescore-patience,main,False,matched_latency,rescore-patience,test,1,task,nemotron-pii,300,0.825,0.8198757763975155,0.822429906542056,0.7775738361421659,0.45454545454545453,0.19626168224299065,0.0375,0.175,0.18012422360248448
rescore-patience:main:0b91cc5cc041f39a,rescore-patience,main,False,matched_latency,rescore-patience,test,1,task,privy,300,0.8721804511278195,0.6810176125244618,0.7648351648351648,0.7588510606174982,18.25287356321839,0.26483516483516484,0.06766917293233082,0.12781954887218044,0.31898238747553814
